Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese
Skill/S_Sakuya_7_Description,Text,,"선택한 스킬은 패의 상단 혹은 하단이 아니더라도 「마술」의 추가효과를 발동시킬 수 있습니다.
선택한 스킬에 「마술」이 없을 경우 : '비용 1 감소' 및 '신속'을 1회 부여합니다.","If target has <color=#4169E1>Lunar Magic</color>, it triggers from any hand position. 
Otherwise: Cost -1 and Swiftness for next use.","対象のスキルが<color=#4169E1>ルナマジック</color>を持つ場合、手札の一番上か一番下にないときでも<color=#4169E1>ルナマジック</color>の効果を発動できるようにする。
それ以外の場合、次に使用するまでコストが1減少し、迅速を得る。","如果目标带有<color=#4169E1>月魔术</color>关键词，使其即使不在手牌最上方或最下方也能触发<color=#4169E1>月魔术</color>的额外效果；
否则本场战斗仅一次，使其费用降低1点，附带迅速。","如果目标带有<color=#4169E1>月魔术</color>关键词，使其即使不在手牌最上方或最下方也能触发<color=#4169E1>月魔术</color>的额外效果；
否则本场战斗仅一次，使其费用降低1点，附带迅速。"
Skill/S_Sakuya_7_Name,Text,,환술「마이 나이프 리커전」,Illusion "My Knife's Recursions",幻術「マイナイフリカージョン」,幻术「吾刃回归」,幻术「吾刃回归」
Skill/S_Sakuya_8_Description,Text,,[시계「루나 다이얼」] 을 1장씩 패에 추가합니다.,Add 1 [Watch "Lunar Dial"] to hand.,「時計-ルナダイアル」を手札に1枚加える。,将1张“时计「月时计」”加入手中。,将1张“时计「月时计」”加入手中。
Skill/S_Sakuya_8_Name,Text,,시부「사쿠야 특제 스톱워치」,Time Sign "Sakuya's Special Stopwatch",時符「咲夜特製ストップウォッチ」,时符「咲夜特制秒表」,时符「咲夜特制秒表」
Skill/S_Sakuya_9_Description,Text,,"치명타가 아닐 때, <color=#EEE9E9>시간 정지 비도</color> 1개를 얻고, 이 기술을 손에 되돌립니다.
치명타일 때, 이 기술을 추방합니다.","On non-Critical: Gain 1 <color=#EEE9E9>Time-Stop Dagger</color> and return this skill to hand. 
On Critical: Banish this skill.","クリティカルしなかった場合、<color=#EEE9E9>時間停止-フライングナイフ</color>を1ストック得て、このスキルを手札に戻す。
クリティカルした場合、このスキルを除外する。","未暴击时，获得1把<color=#EEE9E9>时停飞刀</color>，将这个技能拿回手中。
暴击时，放逐这个技能。","未暴击时，获得1把<color=#EEE9E9>时停飞刀</color>，将这个技能拿回手中。
暴击时，放逐这个技能。"
Skill/S_Sakuya_9_Name,Text,,은부「은의 도약」,Silver Sign "Silver Bound",銀符「シルバーバウンド」,银符「银之跳跃」,银符「银之跳跃」
Skill/S_Sakuya_Knife_Name,Text,,시간 정지 비도,Time-Stop Dagger,時間停止-フライングナイフ,时停飞刀,时停飞刀
Skill/S_Sakuya_LucyD_1_Description,Text,,,,,,
Skill/S_Sakuya_LucyD_1_Name,Text,,공허「팽창 공간」,Void "Inflation Square",空虚「インフレーションスクウェア」,空虚「膨胀空间」,空虚「膨胀空间」
Skill/S_Sakuya_LucyD_Description,Text,,"스킬 1개를 뽑습니다.
덱에서 스킬 1개를 선택하여 맨 위에 놓습니다.
패에 [시부「체인질링 매직」]을 1개 추가합니다.","Draw 1 skill. 
Choose 1 skill from deck to place on top. 
Add 1 [Time Sign ""Changeling Magic""] to hand.","スキルを1枚引く。
デッキのスキルをすべて提示し、1つ選んでデッキの一番上に置く。
「時符-チェンジリングマジック」を手札に1枚加える。","抽取1个技能。
展示牌库中的技能，选择其中1个置于顶部。
将1个“时符「调换魔法」”加入手中。","抽取1个技能。
展示牌库中的技能，选择其中1个置于顶部。
将1个“时符「调换魔法」”加入手中。"
Skill/S_Sakuya_LucyD_Name,Text,,시부「터널 이펙트」,Time Sign "Tunnel Effect",時符「トンネルエフェクト」,时符「隧穿效应」,时符「隧穿效应」
Skill/S_Sakuya_P_Description,Text,,,,,,
Skill/S_Sakuya_P_Name,Text,,시계「루나 다이얼」,Watch "Lunar Dial",時計「ルナダイアル」,时计「月时计」,时计「月时计」
SkillExtended/SE_Sakuya_7_0_Des,Text,,신속' 부여 및 비용 1 감소.,Cost -1 and Swiftness.,コストが1減少し、迅速を得る。,费用减少1点、附带迅速。,费用减少1点、附带迅速。
SkillExtended/SE_Sakuya_7_0_Name,Text,,「마이 나이프 리커전」,My Knife's Recursions,マイナイフリカージョン,吾刃回归,吾刃回归
SkillExtended/SE_Sakuya_7_Des,Text,,패의 상단 혹은 하단에 위치하지 않더라도 「마술」의 추가효과를 시전합니다.,Triggers <color=#4169E1>Lunar Magic</color> from any hand position.,手札の一番上か一番下にないときでも<color=#4169E1>ルナマジック</color>の効果を発動する。,即使不在手牌顶或手牌底也能触发「月魔术」的额外效果。,即使不在手牌顶或手牌底也能触发「月魔术」的额外效果。
SkillExtended/SE_Sakuya_7_Name,Text,,「마이 나이프 리커전」,My Knife's Recursions,マイナイフリカージョン,吾刃回归,吾刃回归
SkillExtended/SE_Sakuya_P_EnforceString,Text,,,,,,
SkillExtended/SE_Sakuya_P_Name,Text,,마술,Lunar Magic,ルナマジック,月魔术,月魔术
SkillExtended/SE_Sakuya_Rare_12_Name,Text,,완벽한 메이드,Perfect Maid,パーフェクトメイド,完美女仆,完美女仆
SkillExtended/SkillExtended_Sakuya_Name,Text,,사쿠야 기본,Sakuya Base Class,咲夜の基本クラス,咲夜基类,咲夜基类
SkillKeyword/Keyword_LunaMagic_Desc,Text,,이 스킬은 패의 상단 혹은 하단에 위치하였을때 추가효과를 가집니다.,Triggers additional effects when played from top/bottom of hand.,このスキルは手札の一番上または一番下から使用するとき、追加効果が発動する。,该技能在位于手牌顶或手牌底被打出时拥有额外效果。,该技能在位于手牌顶或手牌底被打出时拥有额外效果。
SkillKeyword/Keyword_LunaMagic_Name,Text,,마술,<color=#4169E1>Lunar Magic</color>,<color=#4169E1>ルナマジック</color>,<color=#4169E1>月魔术</color>,<color=#4169E1>月魔术</color>
